1,1000.00,-75.000,4727.00,-75.000
2,1000.00,-50.000,4760.00,-50.000
3,2129.80,-74.900,2129.80,-25.000
4,2129.80,-25.000,4772.30,-25.000
5,2219.00,-100.000,4727.80,-100.000
6,2220.00,-125.000,4451.10,-125.000
7,2220.10,-125.000,2220.10,-49.300
8,2334.10,-16.200,2356.90,2.700
9,2334.40,-75.000,2334.40,1000.000
10,2356.00,-6.200,2375.40,-6.200
11,2356.60,-75.000,2356.60,1000.000
12,2375.40,-25.200,2375.40,-6.200
13,2443.70,-2.200,2569.00,-2.200
14,2443.80,-25.400,2443.80,-1.800
15,2518.70,107.500,2542.50,107.500
16,2519.50,-125.000,2519.50,-75.000
17,2519.50,-3.500,2519.50,260.000
18,2542.10,-25.500,2542.10,900.000
19,2568.70,-1.800,2611.30,-75.000
20,2617.50,-50.400,2617.50,-24.200
21,2631.20,-62.400,2707.00,-62.400
22,2631.70,-75.400,2631.70,-48.900
23,2669.00,-75.400,2669.00,-49.000
24,2706.30,-125.400,2706.30,-49.200
25,2716.80,-124.800,2740.90,-154.100
26,2740.10,-362.800,2769.10,-362.800
27,2740.10,-139.600,2789.20,-139.600
28,2740.20,-712.200,2769.10,-712.200
29,2740.30,-957.000,2769.30,-957.000
30,2740.40,-154.800,2789.10,-154.800
31,2740.90,-1000.000,2740.90,-75.000
32,2740.90,-75.000,2740.90,-49.200
33,2768.50,-1000.000,2768.50,-75.000
34,2788.50,-1000.000,2788.50,-124.200
35,2814.80,-50.000,2814.80,-24.800
36,2844.30,-125.300,2844.30,-99.000
37,2904.70,-124.000,2931.40,-151.600
38,2907.70,-74.900,2908.00,-16.800
39,2908.00,-16.900,2940.70,2.000
40,2930.20,-260.900,2959.10,-260.900
41,2930.30,-806.300,2959.20,-806.300
42,2930.30,-574.000,2959.30,-574.000
43,2930.30,-152.500,2959.20,-128.800
44,2930.70,-125.000,2930.90,-50.100
45,2931.00,-2000.000,2931.00,-125.000
46,2939.60,584.000,3242.00,584.000
47,2939.80,-7.300,2958.50,-7.300
48,2940.70,-75.000,2940.70,1000.000
49,2958.50,-900.000,2958.50,-73.000
50,2958.50,-50.400,2958.50,-7.300
51,2994.00,-125.400,2994.00,-49.300
52,3000.00,-100.000,3000.00,-100.000
53,3054.30,-74.700,3054.50,-50.000
54,3055.50,-49.800,3055.70,-24.900
55,3063.10,-24.800,3087.30,-0.500
56,3086.80,209.600,3113.10,209.600
57,3087.20,525.800,3087.30,-50.000
58,3087.30,-0.500,3112.30,0.100
59,3087.40,226.000,3136.30,226.000
60,3087.40,525.800,3112.30,525.600
61,3112.30,0.100,3136.60,-24.900
62,3112.40,-74.000,3112.40,966.250
63,3112.40,489.200,3275.00,489.200
64,3134.80,489.600,3134.90,226.100
65,3185.50,-75.000,3185.50,-24.900
66,3185.50,-62.200,3225.80,-62.200
67,3225.80,-75.000,3225.80,-62.200
68,3245.40,-124.900,3245.50,-99.800
69,3245.40,-25.000,3245.50,-74.900
70,3257.00,-25.300,3257.00,0.100
71,3257.00,0.100,3300.70,0.100
72,3274.20,362.900,3300.70,362.900
73,3274.20,452.600,3478.40,452.600
74,3274.70,0.300,3274.80,-49.900
75,3300.00,-74.000,3300.00,966.250
76,3417.70,-49.700,3417.80,-24.900
77,3457.40,-125.200,3457.40,-2.700
78,3457.40,-2.700,3479.40,-2.700
79,3478.40,-50.300,3478.40,452.600
80,3532.60,-74.900,3532.90,-155.600
81,3532.90,-155.600,3557.90,-155.600
82,3545.40,-155.600,3545.40,-50.000
83,3557.90,-155.600,3557.90,-100.000
84,3560.70,-49.800,3560.80,-24.900
85,3575.10,-25.000,3575.30,-152.000
86,3575.30,-152.000,3615.30,-152.000
87,3615.30,-152.000,3615.30,-24.900
88,3633.70,-125.400,3633.70,-98.900
89,3773.80,-125.600,3773.80,-24.300
90,3801.50,-74.700,3802.00,-87.100
91,3802.00,-87.100,3828.00,-87.500
92,3823.80,-50.500,3823.80,-24.000
93,3828.00,-87.500,3835.20,-82.200
94,3835.20,-87.100,3835.30,-49.900
95,3835.20,-87.100,3851.20,-87.100
96,3851.20,-87.100,3851.20,-24.800
97,3878.80,-50.500,3878.80,-24.300
98,3888.30,-573.500,3888.30,-49.100
99,3888.30,-573.500,4068.40,-573.500
100,3888.30,-149.400,3912.50,-124.900
101,3899.20,-62.100,3899.20,-24.300
102,3899.20,-62.100,3936.60,-62.100
103,3905.80,-125.400,3905.80,-112.600
104,3905.80,-112.600,3963.40,-112.600
105,3932.50,-125.600,3932.50,-99.200
106,3935.80,-75.000,3935.80,-49.800
107,3963.40,-125.500,3963.40,-112.600
108,4003.70,-49.900,4003.70,-24.700
109,4018.00,-154.300,4068.00,-154.300
110,4018.30,-558.600,4018.40,-154.500
111,4031.20,-74.700,4031.30,-24.800
112,4040.70,-1000.000,4040.70,-75.000
113,4040.70,-539.400,4068.30,-539.400
114,4040.80,-166.300,4068.40,-166.200
115,4040.90,-287.500,4068.40,-287.300
116,4061.10,-50.300,4061.10,-24.200
117,4068.20,-49.800,4068.30,-74.800
118,4068.50,-1000.000,4068.50,-75.000
119,4068.50,-148.500,4091.50,-125.000
120,4113.50,-75.600,4113.50,-24.200
121,4210.60,-125.000,4210.70,-49.900
122,4264.60,-49.800,4264.70,-24.900
123,4270.90,-124.900,4270.90,-99.900
124,4295.90,-125.400,4295.90,-99.100
125,4426.30,778.900,4793.00,778.900
126,4439.50,-74.900,4439.50,-24.900
127,4451.10,-125.000,4476.00,-99.400
128,4457.90,-118.000,4458.00,-14.700
